duration,joint_1,joint_2,joint_3
3.0     , 4.8       ,13.8         , 60.9

-1      , 마지막 팔짱~
1.2     , -8.0903                               , 5.2788      , 0.0
0.6     , -8.0903                               , 5.2788      , 0.0
0.6     , -8.0903                               , 5.2788      , 0.0
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25      , -8.0903                               , 35.2788      , 30.1315
5.5       , -8.0903                               , 35.2788      , 30.1315
0.25      , -8.0903                               , 5.2788      , 0.0
1.0       , -8.0903                               , 5.2788      , 0.0
1.0       , 4.8                                   , 13.8         , 60.9
2.0       , 4.8                                   , 13.8         , 60.9
-1      , 마지막 팔짱 -> ~

3.0     , 4.8                                   , 13.8         , 60.9

