duration,joint_1,joint_2,joint_3
1.0     , -1.5                                  , 36.5         ,  59.0

-1      , 마지막 팔짱~
1.2     , 1.2907                                , 5.2427       ,   0.0
0.6     , 1.2907                                , 5.2427       ,   0.0
0.6     , 1.2907                                , 5.2427       ,   0.0
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25    , 1.2907                                , 35.2427      ,  35.8806
5.5     , 1.2907                                , 35.2427      ,  35.8806
0.25    , 1.2907                                , 5.2427       ,   0.0
1.0     , 1.2907                                , 5.2427       ,   0.0
1.0     , -1.5                                  , 36.5         ,  59.0
2.0     , -1.5                                  , 36.5         ,  59.0
-1      , 마지막 팔짱 -> ~

3.0     , -1.5                                  , 36.5         ,  59.0

