duration,joint_1,joint_2,joint_3
1.0     , 2.4                                   , 22.8         , 62.4

-1      , 마지막 팔짱~
1.2     , -7.5334                               , 5.8785       , 0.0
0.6     , -7.5334                               , 5.8785       , 0.0
0.6     , -7.5334                               , 5.8785       , 0.0
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25     , -7.5334                               , 35.8785      , 30.4386
5.5      , -7.5334                               , 35.8785      , 30.4386
0.25     , -7.5334                               , 5.8785       , 0.0
1.0      , -7.5334                               , 5.8785       , 0.0
1.0      , 2.4                                   , 22.8         , 62.4
2.0      , 2.4                                   , 22.8         , 62.4
-1      , 마지막 팔짱 -> ~

3.0     , 2.4                                   , 22.8         , 62.4

