duration,joint_1,joint_2,joint_3
3.0     , 2.8                                   , 30.6         , 57.7

-1      , 마지막 팔짱~
1.2     , -1.2292                               , 5.8181       , 0.0
0.6     , -1.2292                               , 5.8181       , 0.0
0.6     , -1.2292                               , 5.8181       , 0.0
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25    , -1.2292                               , 35.8181      , 30.3207
5.5     , -1.2292                               , 35.8181      , 30.3207
0.25    , -1.2292                               , 5.8181       , 0.0
1.0     , -1.2292                               , 5.8181       , 0.0
1.0     , 2.8                                   , 30.6         , 57.7
2.0     , 2.8                                   , 30.6         , 57.7
-1      , 마지막 팔짱 -> ~

3.0     , 2.8                                   , 30.6         , 57.7

