duration,joint_1,joint_2,joint_3
3.0     , 4.8                                   , 13.8         ,  60.9

-1      , 마지막 팔짱~
1.2  , -10.2960                              , 63.5677      ,  21.8559
0.6  , -10.2960                              , 63.5677      ,  21.8559
0.6  , -10.2960                              , 63.5677      ,  21.8559
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25   , -10.2960                              , 63.5677      ,  21.8559
5.5    , -10.2960                              , 63.5677      ,  21.8559
0.25   , -10.2960                              , 63.5677      ,  21.8559
1.0    , -10.2960                              , 63.5677      ,  21.8559
1.0    , 4.8                                   , 13.8         ,  60.9
2.0    , 4.8                                   , 5.8          ,  10.9
-1      , 마지막 팔짱 -> ~

3.0     , 4.8                                   , 13.8         ,  60.9

