duration,joint_1,joint_2,joint_3
1.0     , -1.5                                  , 36.5         , 59.0

-1      , 마지막 팔짱~
1.2 , -25.0662                              , 66.7655      , 25.4667
0.6 , -25.0662                              , 66.7655      , 25.4667
0.6 , -25.0662                              , 66.7655      , 25.4667
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25   , -25.0662                              , 66.7655      , 25.4667
5.5    , -25.0662                              , 66.7655      , 25.4667
0.25   , -25.0662                              , 66.7655      , 25.4667
1.0    , -25.0662                              , 66.7655      , 25.4667
1.0    , -1.5                                  , 36.5         , 59.0
2.0    , -1.5                                  , 5.5          , 10.0
-1      , 마지막 팔짱 -> ~

3.0     , -1.5                                  , 36.5         , 59.0

