duration,joint_1,joint_2,joint_3
3.0     , 2.8                                   , 30.6         , 57.7

-1      , 마지막 팔짱~
1.2  , -17.5965                              , 67.6271      , 20.1554
0.6  , -17.5965                              , 67.6271      , 20.1554
0.6  , -17.5965                              , 67.6271      , 20.1554
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25   , -17.5965                              , 67.6271      , 20.1554
5.5    , -17.5965                              , 67.6271      , 20.1554
0.25   , -17.5965                              , 67.6271      , 20.1554
1.0    , -17.5965                              , 67.6271      , 20.1554
1.0    , 2.8                                   , 30.6         , 57.7
2.0    , 2.8                                   , 5.6          , 10.7
-1      , 마지막 팔짱 -> ~

3.0     , 2.8                                   , 30.6         , 57.7

