duration,joint_1,joint_2,joint_3
3.0     , -19.0                                 , 64.0         , 27.5

-1      , 마지막 팔짱~
1.2     , -19.3158                              , 50.0         , 40.0411
0.6     , -19.3158                              , 50.0         , 40.0411
0.6     , -19.3158                              , 50.0         , 40.0411
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25    , -19.3158                              , 50.0         , 40.0411
5.5     , -19.3158                              , 50.0         , 40.0411
0.25    , -19.3158                              , 50.0         , 40.0411
1.0     , -19.3158                              , 50.0         , 40.0411
1.0     , -19.0                                 , 64.0         , 27.5
2.0     , -5.0                                  , 60.0         , 27.5
-1      , 마지막 팔짱 -> ~

3.0     , -19.0                                 , 64.0         , 27.5

