duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
3.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11

-1      , 손목 돌리기~
1.00    , -6.0465               , 44.8615      , -19.0337   , -104.8020 , -45.6409  , 0.0      , -15.6873
1.00    , -41.8057              , 2.8251       , 6.4012     , -138.8761 , -0.0363   , 1.0028   , 0.8320

1.00    , -41.8057              , 2.8251       , 6.4012     , -138.8761 , -0.0363   , 1.7169   , -50.5057
1.00    , -41.8057              , 2.8251       , 6.4012     , -138.8761 , -0.0363   , -33.6033 , 2.7826
1.00    , -41.8057              , 2.8251       , 6.4012     , -138.8761 , -0.0363   , 0.4731   , 60.0000
1.00    , -41.8057              , 2.8251       , 6.4012     , -138.8761 , -0.0363   , 43.3241  , -3.1765
1.00    , -21.2122              , 24.1720      , -18.1897   , -121.6313 , -163.5387 , -23.2169 , 41.2753
-1      , 손목 돌리기           , 끝 -> 24초~

-1      , 손 자랑~
0.5     , -21.2122              , 24.1720      , -18.1897   , -121.6313 , -163.5387 , -23.2169 , 41.2753
4.74    , -21.2122              , 24.1720      , -18.1897   , -121.6313 , -163.5387 , -23.2169 , 41.2753

-1      , 손 모으는 시간
1.00    , -26.9409              , 13.2429      , -25.8396   , -116.1074 , -176.3171 , -34.9607 , 35.4495

1.68    , -26.9409              , 13.2429      , -25.8396   , -116.1074 , -176.3171 , -34.9607 , 35.4495
-1      , kapandji 끝


-1      , 다시 손 벌리고        , abad 보여주기
1.00    , -21.2122              , 24.1720      , -18.1897   , -121.6313 , -163.5387 , -23.2169 , 41.2753
2.20    , -21.2122              , 24.1720      , -18.1897   , -121.6313 , -163.5387 , -23.2169 , 41.2753
-1      , 손 자랑 끝            , -> ~

-1      , 손 깍지               , 끼고         , 스트레칭~
0.5  , -24.0927              , 42.6800      , -22.8826   , -125.6006 , -102.1504 , 31.3290  , 30.6493
0.5  , -34.4247              , 40.5732      , -21.9010   , -122.1737 , -114.3350 , 23.7372  , 16.9191
1.0  , -38.3044              , 46.3636      , -21.9823   , -106.7994 , -170.2174 , 29.5716  , 51.5088
2.0  , -87.2716              , 25.6356      , -61.8566   , -22.9888  , -183.1853 , 9.3538   , 85.8609
1.0  , -87.2716              , 25.6356      , -61.8566   , -22.9888  , -183.1853 , 9.3538   , 85.8609

1.0  , -38.3044              , 46.3636      , -21.9823   , -106.7994 , -170.2174 , 29.5716  , 51.5088
0.5  , -34.4247              , 40.5732      , -17.9010   , -122.1737 , -114.3350 , 23.7372  , 16.9191
0.5  , -23.9175              , 26.4926      , -5.7738    , -115.7495 , -115.7919 , 35.4748  , 13.7903
-1      , 손가락 다             , 빠진 순간


-1      , 여기서                , 손촤라라     , 타이밍
2.8     , 16.7777               , 15.9732      , -14.3579   , -141.0418 , -84.4475  , -6.5699  , -9.6787
0.2     , 16.7777               , 15.9732      , -14.3579   , -141.0418 , -84.4475  , -6.5699  , -9.6787
-1      , 손 깍지               , 끼고 스트레칭, 끝 -> ~

3.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11
