duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
3.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11

-1      , 손목 돌리기~
1.00    , -6.0465                      , -44.8615        , 19.0337     , -104.8020 , 45.6409 , 0.0      , -15.6873
1.00    , -41.8057                     , -2.8251         , -6.4012     , -138.8761 , 0.0363  , -3.1637  , -5.7568

1.00    , -41.8057                     , -2.8251         , -6.4012     , -138.8761 , 0.0363  , -3.5948  , -50.8028
1.00    , -41.8057                     , -2.8251         , -6.4012     , -138.8761 , 0.0363  , -40.1994 , -4.2297
1.00    , -41.8057                     , -2.8251         , -6.4012     , -138.8761 , 0.0363  , -1.6840  , 60.0000
1.00    , -41.8057                     , -2.8251         , -6.4012     , -138.8761 , 0.0363  , 44.0317  , -2.1190
1.00    , -21.2122                     , -24.1720        , 18.1897     , -121.6313 , 163.5387, 23.2169  , 41.2753
-1      , 손목 돌리기 끝 24초~

-1      , 손 자랑~
0.5     , -21.2122                     , -24.1720        , 18.1897     , -121.6313 , 163.5387, 23.2169  , 41.2753
4.74    , -21.2122                     , -24.1720        , 18.1897     , -121.6313 , 163.5387, 23.2169  , 41.2753

-1      , 손 모으는 시간
1.00    , -29.9409                     , -13.2429        , 23.8396     , -114.1074 , 177.3171, 34.9607  , 35.4495

1.68    , -29.9409                     , -13.2429        , 23.8396     , -114.1074 , 177.3171, 34.9607  , 35.4495
-1      , kapandji 끝

-1      , 다시 손 벌리고               , abad 보여주기
1.00    , -21.2122                     , -24.1720        , 18.1897     , -121.6313 , 163.5387, 23.2169  , 41.2753
2.20    , -21.2122                     , -24.1720        , 18.1897     , -121.6313 , 163.5387, 23.2169  , 41.2753
-1      , 손 자랑 끝 ~




-1      , 손 깍지 끼고 스트레칭~
0.5     , -24.1909                     , -42.3245        , 22.3483     , -127.3956 , 110.8446, -26.2848 , 28.7135
0.5     , -32.5218                     , -38.0177        , 22.1619     , -123.6482 , 133.1951, -15.5562 , 23.4746
1.0     , -45.3373                     , -40.4914        , 27.1864     , -103.0087 , 183.1251, -23.2437 , 53.1030
2.0     , -86.7113                     , -25.5907        , 61.1819     , -25.6971  , 189.8810, 4.1971   , 80.0000
1.0     , -86.7113                     , -25.5907        , 61.1819     , -25.6971  , 189.8810, 4.1971   , 80.0000

1.0     , -45.3373                     , -40.4914        , 27.1864     , -103.0087 , 183.1251, -23.2437 , 53.1030
0.5     , -32.5218                     , -38.0177        , 20.1619     , -123.6482 , 133.1951, -15.5562 , 23.4746
0.5     , -26.5590                     , -33.8913        , 15.4235     , -119.9870 , 108.4153, -23.6804 , 22.5476
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
2.8     , 16.7777                      , -15.9732        , 14.3579     , -141.0418 , 84.4475 , 6.5699   , -9.6787
0.2     , 16.7777                      , -15.9732        , 14.3579     , -141.0418 , 84.4475 , 6.5699   , -9.6787
-1      , 손 깍지 끼고 스트레칭 끝 -> ~


3.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11
