duration,joint_1,joint_2,joint_3
1.0     , 4.8       ,13.8         , 60.9

-1      , 손목 돌리기~
1.00    , 1.4706                                , -9.9999      , 38.5715
1.00    , 2.2359                                , -2.4818      , 41.0741

1.00    , 2.2359                                , -2.4818      , 41.0741
1.00    , 2.2359                                , -2.4818      , 41.0741
1.00    , 2.2359                                , -2.4818      , 41.0741
1.00    , 2.2359                                , -2.4818      , 41.0741
1.00    , 0.0                                   , 0.0          , 0.0
-1      , 손목 돌리기 끝 ~


-1      , 손 자랑~
0.5     , 7.5448                                , 13.2656      , 34.5794
0.5     , 7.5448         , 13.2656      , 34.5794

0.5     , 16.2866        , 53.0548      , 15.8571
0.5     , 12.2203        , 12.5735      , 31.3181
0.5     , 12.2203        , 12.5693      , 31.4027
0.5     , 12.2153        , 12.5681      , 31.4630

0.5     , 7.5448         , 13.2656      , 34.5794


0.3     , 16.2866        , 53.0548      , 15.8571

0.12    , 12.2203        , 12.5735      , 31.3181
0.12    , 12.2203        , 12.5693      , 31.4027
0.12    , 12.2153        , 12.5681      , 31.4630
0.12    , 12.2203        , 12.5693      , 31.4027
0.12    , 12.2203        , 12.5735      , 31.3181
0.12    , 16.2866        , 53.0548      , 15.8571

0.12    , 12.2203        , 12.5735      , 31.3181
0.12    , 12.2203        , 12.5693      , 31.4027
0.12    , 12.2153        , 12.5681      , 31.4630
0.12    , 12.2203        , 12.5693      , 31.4027
0.12    , 12.2203        , 12.5735      , 31.3181
0.12    , 16.2866        , 53.0548      , 15.8571


-1      , 손 모으는 시간
1.0     , 7.5448         , 13.2656      , 34.5794

-1      , R hand 기다림
0.84    , 7.5448         , 13.2656      , 34.5794

0.12    , 16.2866        , 58.0548      , 10.8571
0.12    , 12.2203        , 12.5735      , 31.3181
0.12    , 12.2203        , 12.5693      , 31.4027
0.12    , 12.2153        , 12.5681      , 31.4630
0.12    , 12.2203        , 12.5693      , 31.4027
0.12    , 12.2203        , 12.5735      , 31.3181
0.12    , 16.2866        , 58.0548      , 10.8571
-1      , kapandji 끝

-1      , 다시 손 벌리고 , abad 보여주기
1.00    , 30.00          , 0.0          ,  0.0

-1      , 시작
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0

0.2     , -30.00         , 0.0          ,  0.0
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~







-1      , 손 깍지 끼고 스트레칭~
0.5  , 14.9541                               , -6.1868      , 9.1566
0.5  , 22.7910                               , -0.3764      , 0.0000
1.0  , 28.6479                               , -2.9703      , 0.0000
2.0  , 20.4932                               , -10.2700     , -189.2848
1.0  , 20.4932                               , -10.2700     , -189.2848

1.0  , 28.6479                               , -2.9703      , 0.0000
0.5  , 22.7910                               , -0.3764      , 0.0000
0.5  , 14.9541                               , -6.1868      , 9.1566
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.4     , 17.7886                               , 2.0753       , 21.1941
0.2     , 0.0                                   , 0.0          , 0.0
0.4     , 5.3285                                , 90.00        , 100.00
0.2     , 5.3285                                , 90.00        , 100.00
-1      , 끝
1.8     , 5.3285                                , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~


3.0     , 4.8                                   , 13.8         , 60.9

