duration,joint_1,joint_2,joint_3
3.0     , -1.5                                  , 36.5         ,  59.0

-1      , 손목 돌리기~
1.00    , 1.9217                                , -9.9999      ,  42.4721
1.00    , 8.4427                                , -4.6196      ,  50.9923

1.00    , 8.4427                                , -4.6196      ,  50.9923
1.00    , 8.4427                                , -4.6196      ,  50.9923
1.00    , 8.4427                                , -4.6196      ,  50.9923
1.00    , 8.4427                                , -4.6196      ,  50.9923
1.00    , 0.0                                   , 0.0          ,   0.0
-1      , 손목 돌리기 끝 ~


-1      , 손 자랑~
0.5     , 4.6570                                , 12.9998      ,  15.5092
0.5     , 4.6570         , 12.9998      , 30.5092

0.5     , 4.6570         , 13.0025      , 15.2838
0.5     , 4.6570         , 13.0039      , 15.0474
0.5     , 4.6570         , 13.0080      , 15.8111
0.5     , 8.3294         , 60.0297      , 20.6991

0.5     , 2.6570         , 12.9998      , 30.5092


0.3     , 4.6570         , 13.0025      , 15.2838

0.12    , 4.6570         , 13.0039      , 15.0474
0.12    , 4.6570         , 13.0080      , 15.8111
0.12    , 8.3294         , 60.0297      , 20.6991
0.12    , 4.6570         , 13.0080      , 15.8111
0.12    , 4.6570         , 13.0039      , 15.0474
0.12    , 4.6570         , 13.0025      , 15.2838

0.12    , 4.6570         , 13.0039      , 15.0474
0.12    , 4.6570         , 13.0080      , 15.8111
0.12    , 8.3294         , 60.0297      , 20.6991
0.12    , 4.6570         , 13.0080      , 15.8111
0.12    , 4.6570         , 13.0039      , 15.0474
0.12    , 4.6570         , 13.0025      , 15.2838


-1      , 손 모으는 시간
1.0     , -2.6570        , 12.9998      , 30.5092

-1      , R hand 기다림
0.84    , -2.6570        , 12.9998      , 30.5092

0.12    , 4.6570         , 13.0025      , 15.2838
0.12    , 4.6570         , 13.0039      , 15.0474
0.12    , 4.6570         , 13.0080      , 15.8111
0.12    , 8.3294         , 67.0297      ,  5.6991
0.12    , 4.6570         , 13.0080      , 15.8111
0.12    , 4.6570         , 13.0039      , 15.0474
0.12    , 4.6570         , 13.0025      , 15.2838
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , -30.00         , 0.0          ,  0.0

-1      , 시작           , 
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0

0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.4     , 30.00          , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~






-1      , 손 깍지 끼고 스트레칭~
0.5     , -27.0642                              , 4.2171       ,   0.0000
0.5     , -18.2376                              , 32.6903      ,   0.0000
1.0     , 7.0509                                , 32.4838      ,   3.0895
2.0     , -8.4951                               , 18.6504      ,   0.0000
1.0     , -8.4951                               , 18.6504      ,   0.0000

1.0     , 7.0509                                , 32.4838      ,   3.0895
0.5     , -18.2376                              , 32.6903      ,   0.0000
0.5     , -27.0642                              , 4.2171       ,   0.0000
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.1     , -13.0193                              , 1.2026       ,  30.4827
0.2     , 0.0                                   , 0.0          ,   0.0
0.4     , -2.3491                               , 90.00        , 100.00
0.5     , -2.3491                               , 90.00        , 100.00
-1      , 끝
1.8     , -2.3491                               , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~


3.0     , -1.5                                  , 36.5         ,  59.0

