duration,joint_1,joint_2,joint_3
1.0     , 2.4                                   , 22.8         , 62.4

-1      , 손목 돌리기~
1.00    , -1.7292                               , -4.8395      , 46.4297
1.00    , 3.5915                                , -5.5058      , 45.0390

1.00    , 3.5915                                , -5.5058      , 45.0390
1.00    , 3.5915                                , -5.5058      , 45.0390
1.00    , 3.5915                                , -5.5058      , 45.0390
1.00    , 3.5915                                , -5.5058      , 45.0390
1.00    , 0.0                                   , 0.0          , 0.0
-1      , 손목 돌리기 끝 ~


-1      , 손 자랑~
0.5     , 4.0868                                , 12.3341      , 35.5125
0.5     , 4.0868         , 12.3341      , 28.5125

0.5     , 4.0868         , 12.3341      , 38.2826
0.5     , 12.1423        , 47.7369      , 20.7832
0.5     , 4.9765         , 11.0473      , 38.9758
0.5     , 4.9765         , 11.0473      , 38.7057

0.5     , 4.0868         , 12.3341      , 28.5125


0.3     , 4.0868         , 12.3341      , 38.2826

0.12    , 12.1423        , 47.7369      , 20.7832
0.12    , 4.9765         , 11.0473      , 38.9758
0.12    , 4.9765         , 11.0473      , 38.7057
0.12    , 4.9765         , 11.0473      , 38.9758
0.12    , 12.1423        , 47.7369      , 20.7832
0.12    , 4.0868         , 12.3341      , 38.2826

0.12    , 12.1423        , 47.7369      , 20.7832
0.12    , 4.9765         , 11.0473      , 38.9758
0.12    , 4.9765         , 11.0473      , 38.7057
0.12    , 4.9765         , 11.0473      , 38.9758
0.12    , 12.1423        , 47.7369      , 20.7832
0.12    , 4.0868         , 12.3341      , 38.2826

-1      , 손 모으는 시간
1.0     , 4.0868         , 12.3341      , 28.5125

-1      , R hand 기다림
0.84    , 4.0868         , 12.3341      , 28.5125

0.12    , 4.0868         , 12.3341      , 38.2826
0.12    , 12.1423        , 50.7369      , 13.7832
0.12    , 4.9765         , 11.0473      , 38.9758
0.12    , 4.9765         , 11.0473      , 38.7057
0.12    , 4.9765         , 11.0473      , 38.9758
0.12    , 12.1423        , 50.7369      , 13.7832
0.12    , 4.0868         , 12.3341      , 38.2826
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , 5.0747         , 0.0          ,  0.0

-1      , 시작
0.2     , 5.0747         , 0.0          ,  0.0
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0

0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~



-1      , 손 깍지 끼고 스트레칭~
0.5     , -1.9462                               , -6.1638      , 3.6299
0.5     , 12.3799                               , -6.6914      , 1.4808
1.0     , 8.1796                                , -3.1328      , 0.0000
2.0     , 5.1959                                , -16.1418     , -127.5019
1.0     , 5.1959                                , -16.1418     , -127.5019

1.0     , 8.1796                                , -3.1328      , 0.0000
0.5     , 12.3799                               , -6.6914      , 1.4808
0.5     , -1.9462                               , -6.1638      , 3.6299
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.3     , 4.6648                                , 1.4911       , 33.8337
0.2     , 0.0                                   , 0.0          , 0.0
0.4     , 0.0                                   , 90.00        , 100.00
0.3     , 0.0                                   , 90.00        , 100.00
-1      , 끝
1.8     , 0.0                                   , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~


3.0     , 2.4                                   , 22.8         , 62.4

