duration,joint_1,joint_2,joint_3
3.0     , 2.8                                   , 30.6         , 57.7

-1      , 손목 돌리기~
1.00    , -3.0700                               , -1.6297      , 44.6970
1.00    , 5.2437                                , -5.8873      , 43.5057

1.00    , 5.2437                                , -5.8873      , 43.5057
1.00    , 5.2437                                , -5.8873      , 43.5057
1.00    , 5.2437                                , -5.8873      , 43.5057
1.00    , 5.2437                                , -5.8873      , 43.5057
1.00    , 0.0                                   , 0.0          , 0.0
-1      , 손목 돌리기 끝 ~



-1      , 손 자랑~
0.5     , 3.9205                                , 14.4788      , 30.3236
0.5     , 3.9205         , 14.4788      , 30.3236

0.5     , 3.9138         , 14.4733      , 30.2706
0.5     , 3.9105         , 14.4733      , 30.2268
0.5     , 10.6716        , 53.1424      , 20.5948
0.5     , 5.3777         , 6.7774       , 30.7740

0.5     , 6.3205         , 14.4788      , 30.3236


0.3     , 3.9138         , 14.4733      , 30.2706

0.12    , 3.9105         , 14.4733      , 30.2268
0.12    , 10.6716        , 53.1424      , 20.5948
0.12    , 5.3777         , 6.7774       , 30.7740
0.12    , 10.6716        , 53.1424      , 20.5948
0.12    , 3.9105         , 14.4733      , 30.2268
0.12    , 3.9138         , 14.4733      , 30.2706

0.12    , 3.9105         , 14.4733      , 30.2268
0.12    , 10.6716        , 53.1424      , 20.5948
0.12    , 5.3777         , 6.7774       , 30.7740
0.12    , 10.6716        , 53.1424      , 20.5948
0.12    , 3.9105         , 14.4733      , 30.2268
0.12    , 3.9138         , 14.4733      , 30.2706



-1      , 손 모으는 시간
1.0     , 6.3205         , 14.4788      , 30.3236

-1      , R hand 기다림
0.84    , 6.3205         , 14.4788      , 30.3236

0.12    , 3.9138         , 14.4733      , 30.2706
0.12    , 3.9105         , 14.4733      , 30.2268
0.12    , 10.6716        , 60.1424      , 12.5948
0.12    , 5.3777         , 6.7774       , 30.7740
0.12    , 10.6716        , 60.1424      , 12.5948
0.12    , 3.9105         , 14.4733      , 30.2268
0.12    , 3.9138         , 14.4733      , 30.2706
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , -10.8057       , 0.0          ,  0.0

-1      , 시작
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0


0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~




-1      , 손 깍지 끼고 스트레칭~
0.5     , -13.8185                              , -7.2066      , 0.8297
0.5     , -8.6862                               , -2.4877      , 0.6420
1.0     , -14.1699                              , -2.1313      , 0.0000
2.0     , -19.2802                              , -12.6987     , -204.1591
1.0     , -19.2802                              , -12.6987     , -204.1591

1.0     , -14.1699                              , -2.1313      , 0.0000
0.5     , -8.6862                               , -2.4877      , 0.6420
0.5     , -13.8185                              , -7.2066      , 0.8297
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.2     , -5.0647                               , -4.4473      , 38.5806
0.2     , 0.0                                   , 0.0          , 0.0
0.4     , -2.7501                               , 90.00        , 100.00
0.4     , -2.7501                               , 90.00        , 100.00
-1      , 끝
1.8     , -2.7501                               , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~


3.0     , 2.8                                   , 30.6         , 57.7

