duration,joint_1,joint_2,joint_3
1.0     , 19.0                                  , 50.0         , 27.5

-1      , 손목 돌리기~
1.00    , 102.1214                              , 51.6537      , 26.6948
1.00    , 0.0000                                , 9.0977       ,  8.8448

1.00    , 0.0000                                , 9.0977       ,  8.8448
1.00    , -0.0955                               , 9.0977       ,  8.8448
1.00    , -0.0955                               , 9.0977       ,  8.8448
1.00    , 0.0000                                , 9.0977       ,  8.8448
1.00    , 0.0                                   , 30.4830      , 16.7041
-1      , 손목 돌리기 끝 ~



-1      , 손 자랑~
0.5     , 40.8470                               , 24.3591      , 15.5326
0.5     , 40.8470        , 24.3591      , 15.5326

0.45    , 71.3145        , 35.9452      , 10.5733
0.05    , 71.3145        , 38.9452      ,  7.5733

0.45    , 100.9860       , 37.6234      ,  7.6103
0.05    , 100.9860       , 41.6234      ,  4.6103

0.45    , 117.1436       , 30.0125      , 10.1609
0.05    , 117.1436       , 33.0125      , 7.1609

0.45    , 132.7419       , 17.6799      , 4.5338
0.05    , 132.7419       , 20.6799      ,  0.5338

0.5     , 40.8470        , 24.3591      , 15.5326



0.3     , 71.3145        , 38.9452      ,  7.5733

0.12    , 100.9860       , 41.6234      ,  4.6103
0.12    , 117.1436       , 30.0125      , 11.1609
0.12    , 132.7419       , 20.6799      ,  0.5338
0.12    , 117.1436       , 30.0125      , 11.1609
0.12    , 100.9860       , 41.6234      ,  4.6103
0.12    , 71.3145        , 38.9452      ,  7.5733

0.12    , 100.9860       , 41.6234      ,  4.6103
0.12    , 117.1436       , 30.0125      , 11.1609
0.12    , 132.7419       , 20.6799      ,  0.5338
0.12    , 117.1436       , 30.0125      , 11.1609
0.12    , 100.9860       , 41.6234      ,  4.6103
0.12    , 71.3145        , 38.9452      ,  7.5733


-1      , 손 모으는 시간
0.5     , 90.0           , 24.3591      , 15.5326
0.5     , 90.0           , 24.3591      , 15.5326


-1      , R hand 기다림
0.84    , 90.0           , 24.3591      , 15.5326

0.12    , 75.3145        , 32.9452      ,  3.5733
0.12    , 90.9860        , 37.6234      ,  0.0
0.12    , 115.1436       , 30.0125      ,  0.0
0.12    , 125.7419       , 18.6799       ,  3.5338
0.12    , 115.1436       , 27.0125      ,  0.0
0.12    , 97.9860        , 40.6234      ,  0.0
0.12    , 75.3145        , 32.9452      ,  3.5733
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
0.70    , 60.3145        , 35.4226      , 14.3251
0.30    , 0.0000         , 35.4226      , 14.3251


-1      , 시작
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.4     , 0.0000         , 90.00        ,  0.00

0.4     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
-1      , 손 자랑 끝 -> ~



-1      , 손 깍지 끼고 스트레칭~
0.5     , 14.9545                               , 29.7162      , 18.1244
0.5     , 14.9559                               , 29.6736      , 18.1607
1.0     , 14.9573                               , 45.8852      , 18.3684
2.0     , 15.2506                               , 15.00        , 25.2501
1.0     , 15.2506                               , 15.00        , 25.2501

1.0     , 14.9573                               , 45.8852      , 18.3684
0.5     , 14.9559                               , 29.6736      , 18.1607
0.5     , 14.9545                               , 29.7162      , 18.1244
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.5     , 18.6191                               , 1.1016       , 14.7823
0.2     , 0.0                                   , 0.0          ,  0.0
0.4     , 31.2000                               , 60.9299      , 36.4499
0.1     , 31.2000                               , 60.9299      , 36.4499
-1      , 끝
1.8     , 31.2000                               , 60.9299      , 36.4499
-1      , 손 깍지 끼고 스트레칭 끝 -> ~

3.0     , 19.0                                  , 50.0         , 27.5

