duration,joint_1,joint_2,joint_3
3.0     , 4.8                                   , 13.8         ,  60.9

-1      , 손목 돌리기~
1.00    , -3.0093                               , -9.9999      ,   8.7817
1.00    , -3.4792                               , -9.5565      ,  34.3961

1.00    , -3.4792                               , -9.5565      ,  34.3961
1.00    , -3.4792                               , -9.5565      ,  34.3961
1.00    , -3.4792                               , -9.5565      ,  34.3961
1.00    , -3.4792                               , -9.5565      ,  34.3961
1.00    , 0.0                                   , 0.0          ,   0.0
-1      , 손목 돌리기 끝 ~



-1      , 손 자랑~
0.5     , -7.5448                               , 13.2656      ,  39.5794
0.5     , -7.5448        , 13.2656      , 39.5794

0.5     , -16.2866       , 50.0548      , 25.8571
0.5     , -12.2203       , 12.5735      , 31.3181
0.5     , -12.2203       , 12.5693      , 31.4027
0.5     , -12.2153       , 12.5681      , 31.4630

0.5     , -7.5448        , 13.2656      , 39.5794


0.3     , -16.2866       , 50.0548      , 25.8571

0.12    , -12.2203       , 12.5735      , 31.3181
0.12    , -12.2203       , 12.5693      , 31.4027
0.12    , -12.2153       , 12.5681      , 31.4630
0.12    , -12.2203       , 12.5693      , 31.4027
0.12    , -12.2203       , 12.5735      , 31.3181
0.12    , -16.2866       , 50.0548      , 25.8571

0.12    , -12.2203       , 12.5735      , 31.3181
0.12    , -12.2203       , 12.5693      , 31.4027
0.12    , -12.2153       , 12.5681      , 31.4630
0.12    , -12.2203       , 12.5693      , 31.4027
0.12    , -12.2203       , 12.5735      , 31.3181
0.12    , -16.2866       , 50.0548      , 25.8571


-1      , 손 모으는 시간
1.0     , -7.5448        , 13.2656      , 39.5794


0.12    , -16.2866       , 58.0548      , 10.8571
0.12    , -12.2203       , 12.5735      , 31.3181
0.12    , -12.2203       , 12.5693      , 31.4027
0.12    , -12.2153       , 12.5681      , 31.4630
0.12    , -12.2203       , 12.5693      , 31.4027
0.12    , -12.2203       , 12.5735      , 31.3181
0.12    , -16.2866       , 58.0548      , 10.8571

-1      , L hand 기다림
0.2     , -7.5448        , 13.2656      , 39.5794
0.64    , -7.5448        , 13.2656      , 39.5794
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , -30.00         , 0.0          ,  0.0

-1      , 시작
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0

0.2     , 30.00          , 0.0          ,  0.0
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~




-1      , 손 깍지 끼고 스트레칭~
0.5     , -28.6479                              , -9.9241      ,   0.0000
0.5     , -28.6448                              , -8.5754      ,   1.5149
1.0     , -28.6479                              , -2.1880      ,   0.0000
2.0     , -22.2246                              , 0.3377       ,   0.0000
1.0     , -22.2246                              , 0.3377       ,   0.0000

1.0     , -28.6479                              , -2.1880      ,   0.0000
0.5     , -28.6448                              , -8.5754      ,   1.5149
0.5     , -28.6479                              , -9.9241      ,   0.0000
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.4     , -28.6479                              , -7.3218      ,  19.4654
0.2     , 0.0                                   , 0.0          ,   0.0
0.4     , -5.32850                              , 90.00        , 100.00
0.2     , -5.32850                              , 90.00        , 100.00
-1      , 끝
1.8     , -5.32850                              , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~

3.0     , 4.8                                   , 13.8         ,  60.9

