duration,joint_1,joint_2,joint_3
1.0     , -1.5                                  , 36.5         , 59.0

-1      , 손목 돌리기~
1.00    , -5.1740                               , -9.9999      , 20.1748
1.00    , -6.6565                               , -9.9999      , 40.3031

1.00    , -6.6565                               , -9.9999      , 40.3031
1.00    , -6.6565                               , -10.2925     , 40.3031
1.00    , -6.6565                               , -9.9999      , 40.3031
1.00    , -6.6565                               , -9.9999      , 40.3031
1.00    , 0.0                                   , 0.0          , 0.0
-1      , 손목 돌리기 끝 ~



-1      , 손 자랑~
0.5     , -4.6570                               , 12.9998      , 39.5092
0.5     , -4.6570        , 12.9998      , 39.5092

0.5     , -4.6570        , 13.0025      , 39.2838
0.5     , -4.6570        , 13.0039      , 39.0474
0.5     , -4.6570        , 13.0080      , 38.8111
0.5     , -12.3294       , 70.0297      , 15.6991

0.5     , -2.6570        , 12.9998      , 39.5092


0.3     , -4.6570        , 13.0025      , 39.2838

0.12    , -4.6570        , 13.0039      , 39.0474
0.12    , -4.6570        , 13.0080      , 38.8111
0.12    , -12.3294       , 70.0297      , 15.6991
0.12    , -4.6570        , 13.0080      , 38.8111
0.12    , -4.6570        , 13.0039      , 39.0474
0.12    , -4.6570        , 13.0025      , 39.2838

0.12    , -4.6570        , 13.0039      , 39.0474
0.12    , -4.6570        , 13.0080      , 38.8111
0.12    , -12.3294       , 80.0297      , 15.6991
0.12    , -4.6570        , 13.0080      , 38.8111
0.12    , -4.6570        , 13.0039      , 39.0474
0.12    , -4.6570        , 13.0025      , 39.2838

-1      , 손 모으는 시간
1.0     , -2.6570        , 12.9998      , 39.5092


0.12    , -4.6570        , 13.0025      , 39.2838
0.12    , -4.6570        , 13.0039      , 39.0474
0.12    , -4.6570        , 13.0080      , 38.8111
0.12    , -12.3294       , 70.0297      , 0.6991
0.12    , -4.6570        , 13.0080      , 38.8111
0.12    , -4.6570        , 13.0039      , 39.0474
0.12    , -4.6570        , 13.0025      , 39.2838

-1      , L hand 기다림
0.2     , -2.6570        , 12.9998      , 39.5092
0.64    , -2.6570        , 12.9998      , 39.5092
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , 28.6479        , 0.0          ,  0.0

-1      , 시작           , 
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0

0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.4     , -30.00         , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~





-1      , 손 깍지 끼고 스트레칭~
0.5     , 3.9688                                , -6.0160      , -13.1361
0.5     , 5.8234                                , 2.9518       , 0.0000
1.0     , 3.6218                                , 9.7841       , -135.0499
2.0     , 20.6009                               , 21.5196      , 0.0000
1.0     , 20.6009                               , 21.5196      , 0.0000

1.0     , 3.6218                                , 9.7841       , -135.0499
0.5     , 5.8234                                , 2.9518       , 0.0000
0.5     , 3.9688                                , -6.0160      , -13.1361
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.1     , 10.6695                               , -1.0623      , 40.1140
0.2     , 0.0                                   , 0.0          , 0.0
0.4     , 2.34912                               , 90.00        , 100.00
0.5     , 2.34912                               , 90.00        , 100.00
-1      , 끝
1.8     , 2.34912                               , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~

3.0     , -1.5                                  , 36.5         , 59.0

