duration,joint_1,joint_2,joint_3
3.0     , 2.8                                   , 30.6         , 57.7

-1      , 손목 돌리기~
1.00    , -3.9252                               , 10.1080      , 42.7186
1.00    , -4.4284                               , -9.9999      , 38.9449

1.00    , -4.4284                               , -9.9999      , 38.9449
1.00    , -4.4284                               , -9.9999      , 38.9449
1.00    , -4.4284                               , -9.9999      , 38.9449
1.00    , -4.4284                               , -9.9999      , 38.9449
1.00    , 0.0                                   , 0.0          , 0.0
-1      , 손목 돌리기 끝 ~


-1      , 손 자랑~
0.5     , -3.9205                               , 14.4788      , 37.3236
0.5     , -3.9205        , 14.4788      , 37.3236

0.5     , -3.9138        , 14.4733      , 37.2706
0.5     , -3.9105        , 14.4733      , 37.2268
0.5     , -10.6716       , 54.1424      , 30.5948
0.5     , -5.3777        , 6.7774       , 30.7740

0.5     , -6.3205        , 14.4788      , 37.3236


0.3     , -3.9138        , 14.4733      , 37.2706

0.12    , -3.9105        , 14.4733      , 37.2268
0.12    , -10.6716       , 54.1424      , 30.5948
0.12    , -5.3777        , 6.7774       , 30.7740
0.12    , -10.6716       , 54.1424      , 30.5948
0.12    , -3.9105        , 14.4733      , 37.2268
0.12    , -3.9138        , 14.4733      , 37.2706

0.12    , -3.9105        , 14.4733      , 37.2268
0.12    , -10.6716       , 54.1424      , 30.5948
0.12    , -5.3777        , 6.7774       , 30.7740
0.12    , -10.6716       , 54.1424      , 30.5948
0.12    , -3.9105        , 14.4733      , 37.2268
0.12    , -3.9138        , 14.4733      , 37.2706


-1      , 손 모으는 시간
1.0     , -6.3205        , 14.4788      , 37.3236

0.12    , -3.9138        , 14.4733      , 37.2706
0.12    , -3.9105        , 14.4733      , 37.2268
0.12    , -10.6716       , 64.1424      , 15.5948
0.12    , -5.3777        , 6.7774       , 30.7740
0.12    , -10.6716       , 64.1424      , 15.5948
0.12    , -3.9105        , 14.4733      , 37.2268
0.12    , -3.9138        , 14.4733      , 37.2706

-1      , L hand 기다림
0.2     , -6.3205        , 14.4788      , 37.3236
0.64    , -6.3205        , 14.4788      , 37.3236
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , 10.8057        , 0.0          ,  0.0

-1      , 시작
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0


0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~




-1      , 손 깍지 끼고 스트레칭~
0.5     , -6.1155                               , -5.8774      , 0.0000
0.5     , -9.2476                               , -3.7125      , 0.4333
1.0     , 3.9448                                , -7.7785      , -114.4078
2.0     , 7.5188                                , -9.9999      , 0.0000
1.0     , 7.5188                                , -9.9999      , 0.0000

1.0     , 3.9448                                , -7.7785      , -114.4078
0.5     , -9.2476                               , -3.7125      , 0.4333
0.5     , -6.1155                               , -5.8774      , 0.0000
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.2     , -1.3274                               , -2.8949      , 34.0411
0.2     , 0.0                                   , 0.0          , 0.0
0.4     , 2.75019                               , 90.00        , 100.00
0.4     , 2.75019                               , 90.00        , 100.00
-1      , 끝
1.8     , 2.75019                               , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~

3.0     , 2.8                                   , 30.6         , 57.7

