duration,joint_1,joint_2,joint_3
1.0     , -19.0                                 , 64.0         , 27.5

-1      , 손목 돌리기~
1.00    , -124.0988                             , 57.3025      , 20.5430
1.00    , -0.9513                               , 27.4830      , 16.7041

1.00    , -0.9513                               , 27.4830      , 16.7041
1.00    , -0.9513                               , 27.4830      , 16.7041
1.00    , -0.9513                               , 27.4830      , 16.7041
1.00    , -0.9513                               , 27.4830      , 16.7041
1.00    , 0.0                                   , 30.4830      , 16.7041
-1      , 손목 돌리기 끝 ~


-1      , 손 자랑~
0.5     , -40.8470       , 24.3591      , 15.5326
0.5     , -40.8470       , 24.3591      , 15.5326

0.45    , -71.3145       , 38.9452      , 15.5733
0.05    , -71.3145       , 41.9452      , 12.5733

0.45    , -100.9860      , 38.6234      , 14.6103
0.05    , -100.9860      , 41.6234      , 11.6103

0.45    , -115.1436      , 27.0125      , 14.1609
0.05    , -115.1436      , 30.0125      , 11.1609

0.45    , -126.7419      , 9.6799       , 17.5338
0.05    , -126.7419      , 12.6799      , 15.5338

0.5     , -40.8470       , 24.3591      , 15.5326



0.3     , -71.3145       , 41.9452      , 12.5733

0.12    , -100.9860      , 41.6234      , 11.6103
0.12    , -115.1436      , 30.0125      , 11.1609
0.12    , -126.7419      , 12.6799      , 15.5338
0.12    , -115.1436      , 30.0125      , 11.1609
0.12    , -100.9860      , 41.6234      , 11.6103
0.12    , -71.3145       , 41.9452      , 12.5733

0.12    , -100.9860      , 41.6234      , 11.6103
0.12    , -115.1436      , 30.0125      , 11.1609
0.12    , -126.7419      , 12.6799      , 15.5338
0.12    , -115.1436      , 30.0125      , 11.1609
0.12    , -100.9860      , 41.6234      , 11.6103
0.12    , -71.3145       , 41.9452      , 12.5733

-1      , 손 모으는 시간
0.5     , -90.0          , 24.3591      , 15.5326
0.5     , -90.0          , 24.3591      , 15.5326


0.12    , -75.3145       , 32.9452      ,  3.5733
0.12    , -97.9860      , 37.6234      ,  0.0
0.12    , -115.1436      , 23.0125      ,  0.0
0.12    , -125.7419      , 18.6799       ,  0.0
0.12    , -115.1436      , 28.0125      ,  0.0
0.12    , -97.9860      , 37.6234      ,  0.0
0.12    , -75.3145       , 32.9452      ,  3.5733

-1      , L hand 기다림
0.2     , -90.0          , 24.3591      , 15.5326
0.64    , -90.0          , 24.3591      , 15.5326
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
0.7     , -60.0000       , 35.4226      , 14.3251
0.3     , 0.0000         , 35.4226      , 14.3251


-1      , 시작
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.4     , 0.0000         , 90.00        ,  0.00

0.4     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
0.2     , 0.0000         , 35.4226      , 14.3251
-1      , 손 자랑 끝 -> ~



-1      , 손 깍지 끼고 스트레칭~
0.5     , 0.0000                                , 23.8942      , 15.2651
0.5     , 0.0000                                , 23.9631      , 15.2637
1.0     , 0.0000                                , 23.5945      , 15.2811
2.0     , -9.8473                               , 7.6673       , 32.2797
1.0     , -9.8473                               , 7.6673       , 32.2797

1.0     , 0.0000                                , 23.5945      , 15.2811
0.5     , 0.0000                                , 23.9631      , 15.2637
0.5     , 0.0000                                , 23.8942      , 15.2651
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.5     , -2.0202                               , 35.7222      , 12.7098
0.2     , 0.0                                   , 0.0          ,  0.0
0.4     , -31.200001                            , 60.9299      , 36.4499
0.1     , -31.200001                            , 60.9299      , 36.4499
-1      , 끝
1.8     , -31.200001                            , 60.9299      , 36.4499
-1      , 손 깍지 끼고 스트레칭 끝 -> ~

3.0     , -19.0                                 , 64.0         , 27.5

