duration,joint_1,joint_2
3.0  , 0.0             , 0.0

-1      , 손목 돌리기~
7.0  , 0.0             , 0.0
-1      , 손목 돌리기           , 끝 -> 24초~

-1      , 손 자랑~
0.5  , 0.0             , 0.0

-1 , 목 살짝 숙여서 손 보기
0.5  , 10.0             , 0.0
10.12  , 10.0             , 0.0
-1      , 손 자랑 끝            , -> ~




-1      , 손 깍지               , 끼고         , 스트레칭~
2.0  , 0.0             , 0.0
2.5  , 20.0             , 0.0
5.5  , 0.0             , 0.0
-1      , 손 깍지               , 끼고 스트레칭, 끝 -> ~

3.0  , 0.0             , 0.0

