duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
3.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11

-1      , 허리 빙글~

-1      , 왼쪽!
2.0     , -8.1949               , 47.7474     ,  84.2981   , -119.6457 ,  5.7210   , 0.0   , -23.2596
0.5     , -8.1949               , 47.7474     ,  84.2981   , -119.6457 ,  5.7210   , 0.0   , -23.2596
0.5     , -8.1949               , 47.7474     ,  84.2981   , -140.6457 ,  5.7210   , 0.0   , -23.2596
2.0     , -8.1949               , 47.7474     ,  84.2981   , -140.6457 ,  5.7210   , 0.0   , -23.2596


-1      , 일단 다시 가운데
1.8     , 4.7192                , 28.3232      , -36.8138   , -79.2653  , -100.1082 , -25.9185 , -6.9084
-1      , 허리 빙글 -> ~

3.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11
