duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
1.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11

-1      , 허리 빙글~

-1      , 왼쪽!
2.0     , -22.6379                     , -31.1822        , 59.4175     , -133.3608 , 96.5042 , -1.6586  , -11.9191
3.0     , -22.6379                     , -31.1822        , 59.4175     , -133.3608 , 96.5042 , -1.6586  , -11.9191

-1      , 일단 다시 가운데
1.8     , 8.8057                       , -30.5420        , 34.6598     , -78.3367  , 95.1329 , 15.6689  , 3.8069
-1      , 허리 빙글 -> ~

3.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11
