duration         ,joint_1        ,joint_2   ,joint_3         ,joint_4     ,joint_5    ,joint_6        ,joint_7
3.0              ,-0.17          ,4.74      ,-16.65          ,-19.12      ,-90.46     ,-2.29          ,0.11

# 왼팔 들고 손가락 움직이기
1                ,0.17380486     ,4.8290615 ,16.6            ,-119.700005 ,-20.700033 ,-0.28820926    ,-32.700047
## 손가락 움직이기 시작
3.0                ,0.17380613     ,4.829058  ,16.599995       ,-119.700005 ,-20.699966 ,-0.28822085    ,-32.699913

# 왼손 내리기
1                ,6.906066e-07   ,4.983759  ,-1.1025523e-05  ,-10.000018  ,-59.999943 ,-4.681985e-06  ,-14.999797



1                ,2.8464144e-06  ,4.98376   ,-1.3456665e-05  ,-9.999989   ,-59.999985 ,-5.1040824e-06 ,-14.9992895
1                ,1.6318991e-07  ,4.9837747 ,-1.756732e-05   ,-9.999979   ,-59.999897 ,5.4478505e-06  ,-14.999216
1                ,1.0390356e-06  ,4.983776  ,-1.5382275e-05  ,-9.999999   ,-59.999924 ,8.1965745e-06  ,-14.999112
1                ,1.6568803e-06  ,4.983771  ,-2.3467026e-05  ,-9.99994    ,-59.999744 ,2.6795067e-05  ,-14.997864
1                ,-1.2395554e-06 ,4.9837713 ,-2.9581364e-05  ,-9.999929   ,-59.999767 ,3.1024072e-05  ,-14.997769

3.0              ,-0.17          ,4.74      ,-16.65          ,-19.12      ,-90.46     ,-2.29          ,0.11
