duration ,joint_1      ,joint_2    ,joint_3       ,joint_4     ,joint_5   ,joint_6        ,joint_7
     3.0 ,-0.17        ,-4.74      ,16.65         ,-19.12      ,90.46     ,2.29           ,0.11

###########################################################

# 왼팔 들고 손가락 움직이기

     8.0   ,-0.17        ,-4.74      ,16.65         ,-19.12      ,90.46     ,2.29           ,0.11

# 왼손 내리기, ~왼팔 들고 손가락 움직이기 끝~

###########################################################

# 오른팔 들기

     2.0   ,0.0012303235 ,-4.999541  , 0.0017378984 ,-117.200005 ,36.99991  ,-0.031864468   ,-33.399998
     4.0   ,0.0012303235 ,-4.999541  , 0.0017378984 ,-117.200005 ,36.99991  ,-0.031864468   ,-33.399998
     2.0 ,-0.17        ,-4.74      ,16.65         ,-19.12      ,90.46     ,2.29           ,0.11

# 오른팔 내리기         ,~오른팔 들고 손가락 움직이기 끝~

###########################################################


     3.0 ,-0.17        ,-4.74      ,16.65         ,-19.12      ,90.46     ,2.29           ,0.11

