duration         ,joint_1     ,joint_2  ,joint_3
3.0              ,2.8         , 30.6    ,57.7

# 왼팔 들고 손가락 움직이기

2.0              ,0.0         ,-10.0    , 0
0.6              ,0          ,100      ,83.0
0.4              ,0          ,100      ,83.0
2.0              ,0.0         ,-10.0    , 0
0.6              ,0          ,100      ,83.0
0.4              ,0          ,100      ,83.0

# 왼손 내리기, ~왼팔 들고 손가락 움직이기 끝~

###########################################################

4.0              ,2.8         , 30.6    ,57.7

