duration         ,joint_1 ,joint_2 ,joint_3
3.0              ,-19.0   ,   64.0 ,   27.5

###########################################################

# 왼팔 들고 손가락 움직이기

8.0              ,-19.0   ,   64.0 ,   27.5

# 왼손 내리기, ~왼팔 들고 손가락 움직이기 끝~

###########################################################

## 오른팔 들기

2.0              ,0.0     ,    0.0 ,    0.0
1.0              ,-19.0   ,   50.0 ,   50.0

2.0              ,0.0     ,    0.0 ,    0.0
1.0              ,-19.0   ,   50.0 ,   50.0

## 오른팔 내리기         ,~오른팔 들고 손가락 움직이기 끝~

###########################################################
2.0              ,-19.0   ,   64.0 ,   27.5

