duration ,joint_1       ,joint_2
     3.0 ,0.0           ,0.0

     1   ,17.399998     ,22.399998
     4   ,17.399998     ,22.399998

     1   ,17.399998     ,-29.7
     4   ,17.399998     ,-29.7


     1.0 ,0.0           ,-45.0
     2.0 ,0.0           ,0.0

     1.0 ,0.0           ,45.0
     0.5 ,0.0           ,45.0


     0.5  ,-5           ,45.0
     1.0  ,-5           ,45.0

     1.0 ,20           ,45.0
     0.5 ,20           ,45.0
    
     1   ,0 ,0

     3.0 ,0.0           ,0.0

