duration         ,joint_1            ,joint_2   ,joint_3  ,joint_4    ,joint_5    ,joint_6    ,joint_7
1.0              ,-0.17              , 4.74     ,-16.65   ,-19.12     ,-90.46     ,-2.29      ,0.11

### 왼손으로 머리 긁적이기
2.0              ,-75.10519,10.818858,14.62053,-153.57916,-58.967876,-19.238596,-11.767921
3.0              ,-75.10519,10.818858,14.62053,-153.57916,-58.967876,-19.238596,-11.767921
2.0              ,-75.10519,10.818858,14.62053,-153.57916,-58.967876,-19.238596,-11.767921
###              ,~ 왼손으로 머리 긁적이기 끝 ~



3.0              ,-0.17              , 4.74     ,-16.65   ,-19.12     ,-90.46     ,-2.29      ,0.11
