duration               ,joint_1    ,joint_2    ,joint_3    ,joint_4    ,joint_5   ,joint_6    ,joint_7
3.0                    ,-0.17      ,-4.74      ,16.65      ,-19.12     ,90.46     ,2.29       ,0.11

### 왼손으로 머리 긁적이기
5.5                    ,-0.17      ,-4.74      ,16.65      ,-19.12     ,90.46     ,2.29       ,0.11
### 왼손으로 머리 긁적이기 끝 ###

### 허리 앞뒤로 움직이기
1.5                    ,19.999998  ,-4.7398214 ,16.648926  ,-149.99998 ,90.46081  ,2.2867575  ,0.1116158
4.0                    ,19.999998  ,-4.7398214 ,16.648926  ,-149.99998 ,90.46081  ,2.2867575  ,0.1116158
### 허리 앞뒤로 움직이기 끝 ###

1.5                    ,-2.3622413 ,-53.22916  ,-49.129517 ,-60.920906 ,25.423018 ,-2.0488985 ,0
1.5                    ,-2.3622413 ,-53.22916  ,-49.129517 ,-60.920906 ,25.423018 ,-2.0488985 ,0


3.0                    ,-0.17      ,-4.74      ,16.65      ,-19.12     ,90.46     ,2.29       ,0.11

