duration               ,joint_1  ,joint_2  ,joint_3
3.0                    ,4.8      ,13.8     ,   60.9

### 왼손으로 머리 긁적이기

0.5                    ,4.985068 ,16.19759 ,   23.2
1.5                    ,4.985068 ,16.19759 ,   23.2


0.5                    ,4.8      ,13.8     ,   60.9
0.5                    ,4.985068 ,16.19759 ,   23.2
0.5                    ,4.8      ,13.8     ,   60.9
0.5                    ,4.985068 ,16.19759 ,   23.2
0.5                    ,4.8      ,13.8     ,   60.9
0.7                    ,4.985068 ,16.19759 ,   23.2

0.8                    ,4.985068 ,16.19759 ,   23.2
### 왼손으로 머리 긁적이기 끝 ###



2.0                    ,4.8      ,13.8     ,   60.9

