duration               ,joint_1  ,joint_2   ,joint_3
1.0                    ,2.8      ,30.6      ,   57.7

### 왼손으로 머리 긁적이기

0.5                      ,2.834435 ,32.385456 ,   23.2
1.5                      ,2.834435 ,32.385456 ,   23.2

0.5                      ,2.8      ,30.6      ,   57.7
0.5                      ,2.834435 ,32.385456 ,   23.2
0.5                      ,2.8      ,30.6      ,   57.7
0.5                      ,2.834435 ,32.385456 ,   23.2
0.5                      ,2.8      ,30.6      ,   57.7
0.7                      ,2.834435 ,32.385456 ,   23.2

0.8                      ,2.834435 ,32.385456 ,   23.2

### 왼손으로 머리 긁적이기 끝 ###




2.0                    ,2.8      ,30.6      ,   57.7

