duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
3.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11

-1      , 마지막 팔짱~
1.2     , -19.0891              , 41.16753     , -84.1674265, -124.7040 , -104.04464, 9.8595486, 44.402137
0.6     , -18.9639              , 20.13228     , -84.6519924, -126.8530 , -106.14349, 8.081628 , 49.320268
0.6     , -19.2462              , 22.8726      , -85.5256   , -126.0171 , -114.8224 , 8.6805   , 48.9743
-1      , 여기까지              , 팔짱을 낀    , 상태 ->    , 누적 7 sec

-1      , 영상 ㄲ으으으으읕ㅌㅌ.
0.25    , -21.0450              , 22.9095      , -85.0268   , -128.8880 , -104.1259 , -6.9989  , 42.3108
30.5     , -21.0450              , 22.9095      , -85.0268   , -128.8880 , -104.1259 , -6.9989  , 42.3108
0.25    , -19.2462              , 22.8726      , -85.5256   , -126.0171 , -114.8224 , 8.6805   , 48.9743
1.0     , -18.96395             , 20.1322      , -84.6519   , -126.8530 , -106.14349, 8.081628 , 49.320268
1.0     , -19.08916             , 41.1675      , -84.1674   , -124.7040 , -104.04464, 9.8595486, 44.402137
2.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11
-1      , 팔짱 풀었음           , 누적-> 16
-1      , 마지막 팔짱 -> ~

3.0     , -0.17                 , 4.74         , -16.65     , -19.12    , -90.46    , -2.29    , 0.11
