duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
1.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11

-1      , 마지막 팔짱~
1.2     , -23.18442                    , -29.6659        , 39.15689    , -76.30005 , 55.31360, -3.8943  , -20.25356
0.6     , -31.72991                    , -20.5638        , 58.23762    , -106.96836, 65.04032, -13.5544 , -33.99598
0.6     , -29.7807                     , -18.8696        , 67.8290     , -113.3545 , 68.8740 , -19.7166 , -36.9386
-1      , 여기까지                     , 팔짱을 낀       , 상태 ->     , 누적 7 sec

-1.0    , 영상 시작.
0.25    , -29.8220                     , -18.7501        , 68.3242     , -112.4048 , 70.1267 , -19.9697 , -37.5449
30.5     , -29.8220                     , -18.7501        , 68.3242     , -112.4048 , 70.1267 , -19.9697 , -37.5449
0.25    , -29.7807                     , -18.8696        , 67.8290     , -113.3545 , 68.8740 , -19.7166 , -36.9386
1.0     , -31.729910                   , -20.5638        , 58.23762    , -106.96836, 65.04032, -13.55443, -33.99598
1.0     , -23.184423                   , -29.6659        , 39.15689    , -76.300058, 55.31360, -3.894355, -20.25356
2.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11
-1      , 팔짱 풀었음. 누적-> 30
-1      , 마지막 팔짱 -> ~

3.0     , -0.17                        , -4.74           , 16.65       , -19.12    , 90.46   , 2.29     , 0.11
