duration,joint_1,joint_2,joint_3
3.0     , 19.0                                  , 50.0         , 27.5

-1      , 마지막 팔짱~
1.2     , 0.0000                                , 90.0         , 34.4866
0.6     , 0.0000                                , 90.0         , 34.4866
0.6     , 0.0000                                , 90.0         , 34.4866
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25     , 0.0000                                , 90.0         , 34.4866
30.5      , 0.0000                                , 90.0         , 34.4866
0.25     , 0.0000                                , 90.0         , 34.4866
1.0      , 0.0000                                , 90.0         , 34.4866
1.0      , 19.0                                  , 50.0         , 27.5
2.0      , 19.0                                  , 50.0         , 27.5
-1      , 마지막 팔짱 -> ~

3.0     , 19.0                                  , 50.0         , 27.5

