duration,joint_1,joint_2,joint_3
3.0     , 2.4                                   , 22.8         ,  62.4

-1      , 마지막 팔짱~
1.2  , -15.2798                              , 63.4860      ,  29.1344
0.6  , -15.2798                              , 63.4860      ,  29.1344
0.6  , -15.2798                              , 63.4860      ,  29.1344
-1      , 여기까지 팔짱을 낀 상태 -> 누적 15 sec

-1      , 영상 시작.
0.25   , -15.2798                              , 63.4860      ,  29.1344
30.5    , -15.2798                              , 63.4860      ,  29.1344
0.25   , -15.2798                              , 63.4860      ,  29.1344
1.0    , -15.2798                              , 63.4860      ,  29.1344
1.0    , 2.4                                   , 22.8         ,  62.4
2.0    , 2.4                                   , 5.8          ,  10.4
-1      , 마지막 팔짱 -> ~

3.0     , 2.4                                   , 22.8         ,  62.4

