duration ,joint_1     ,joint_2
1.0      ,0.0         ,0.0

-1       ,마지막 팔짱~
1.2      ,0.0         ,0.0
1.2      ,0.0         ,0.0

-1       ,살짝 까딱.~
0.5      ,-5.0        ,0.0
4.0      ,0.0         ,0.0

1.2      ,0.0         ,-40.0
0.2      ,0.0         ,-40.0

2.0      ,0.0         ,40.0
0.2      ,0.0         ,40.0

1.0      ,0           ,0
3.0      ,0           ,0

1.0      ,20.0        ,40.0
2.0      ,20.0        ,40.0

1.0      ,0.0         ,40.0
2.0      ,0.0         ,40.0

2.0      ,0.0         ,0.0
2.0      ,0.0         ,0.0

1.2      ,0.0         ,-40.0
0.2      ,0.0         ,-40.0

2.0      ,0.0         ,40.0
0.2      ,0.0         ,40.0

1.0      ,0           ,0
-1       ,마지막 팔짱 -> ~

3.0      ,0.0         ,0.0

