duration       ,joint_1 ,joint_2 ,joint_3 ,joint_4 ,joint_5 ,joint_6 ,joint_7
1.0            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11

# 고개 오른쪽으로 돌리기
1.4            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11

# 허리 오른쪽으로 돌리기
2.0            ,3       ,   4.74 ,-16.65  ,-8.12   ,-90.46  ,-2.29   ,   0.11
2.0            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11
1.5            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11
3.0            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11

# 오른쪽 한번더 보기
4.0            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11

# 허리 왼쪽으로 돌리기
5.0            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11



25.0          ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11
2.0            ,-0.17   ,   4.74 ,-16.65  ,-50.12  ,-90.46  ,-2.29   ,   0.11



3.0            ,-0.17   ,   4.74 ,-16.65  ,-50.12  ,-90.46  ,-2.29   ,   0.11

1.5            ,5       ,   4.74 ,-16.65  ,-5.12   ,-90.46  ,-2.29   ,   0.11


3.0            ,-0.17   ,   4.74 ,-16.65  ,-19.12  ,-90.46  ,-2.29   ,   0.11
