duration ,joint_1     ,joint_2
1.0      ,0.0         ,0.0

# 고개 오른쪽으로 돌리기
1.4      ,0.0         ,-1.0

# 허리 오른쪽으로 돌리기
2.5      ,-25.0       ,-3.0
2.0      ,-25.0       ,0.0
1.0      ,-25.0       ,1.0
3.0      ,-25.0       ,3.0

# 오른쪽 한번더 보기
4.0      ,-25.0       , -2.0

# 허리 왼쪽으로 돌리기
5.0      ,30.0         ,3.0

# 고개 들어 천정 보기
5.0      ,0.0         ,-3.0

# 바닥 보기
5.0     ,0.0         ,3.0

# 고개 들고 정면 응시
5.0     ,30.0         ,-3.0
5.0     ,30.0         ,3.0

# 제자리로 돌아오기 
5.0     ,0.0         ,-3.0

# 머리 내리기 & 고개 오른쪽으로 돌리기
5.0     ,0.0         ,3.0
7.0     ,-30.0         ,-3.0


-1       ,마지막 팔짱 -> ~

3.0      ,0.0         ,0.0

